CaseNumber,Location,Reported Date,Month,Year,Offense Desc,Statute Code,Statute Desc,Counts,Reporting Officer
2024-00056830,0 Block WHELAN RD,07/13/2024 04:56:00 AM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,SHerr
2024-00053455,0 Block WHELAN RD,07/02/2024 11:51:00 PM,7,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,LRagosta
2024-00043372,0 Block WHELAN RD,06/02/2024 06:11:59 PM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DRamirez
2024-00077241,0 Block BARRY RD,09/16/2024 02:57:00 PM,9,2024,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/O $1000,1,Central Station
2024-00048737,0 Block WHELAN RD,06/18/2024 10:18:00 AM,6,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,LMarroquin
2024-00048737,0 Block WHELAN RD,06/18/2024 10:18:00 AM,6,2024,Weapons,11-47-5.2,POSSESSION OF A STOLEN FIREARM,1,LMarroquin
2024-00035100,0 Block WHELAN RD,05/08/2024 04:43:00 PM,5,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00043059,200 Block HARTFORD AVE,05/18/2024 12:24:00 PM,5,2024,Municipal Code Violation,Sec. 12-57.,Littering.,1,TSavard
2024-00075557,0 Block BAINBRIDGE AVE,09/11/2024 04:36:00 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KHeron
2024-00052159,0 Block BODELL AVE,06/28/2024 11:20:00 PM,6,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,SCampbell
2024-00068817,300 Block HARTFORD AVE,08/21/2024 08:59:00 PM,8,2024,Auto Towed,Not Used,Parking or MV Violation,0,RHull
2024-00044907,300 Block HARTFORD AVE,06/07/2024 01:32:00 PM,6,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MAddai
2024-00070980,300 Block HARTFORD AVE,08/28/2024 05:12:00 PM,8,2024,Larceny from Building,11-41-1,LARCENY/U $11000 - FROM BLD,1,CAlves
2024-00058601,400 Block MANTON AVE,07/18/2024 09:24:00 PM,7,2024,Weapons,11-13-1,USE POSSESS/SELL FIREWORKS,1,LRagosta
2024-00060841,500 Block HARTFORD AVE,07/26/2024 04:46:30 AM,7,2024,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,BJohnson
2024-00031046,0 Block FAIRFIELD AVE,04/25/2024 02:48:00 PM,4,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00032551,0 Block FAIRFIELD AVE,04/30/2024 01:51:00 PM,4,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DRosso
2024-00032835,0 Block FAIRFIELD AVE,05/01/2024 12:18:00 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,Central Station
2024-00078187,0 Block KENNEDY PLZ,09/19/2024 02:43:00 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CSimanski
2024-00057322,MANTON AVE &  ATWELLS AVE,07/14/2024 07:07:00 PM,7,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,AMitura
2024-00057322,MANTON AVE &  ATWELLS AVE,07/14/2024 07:07:00 PM,7,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,AMitura
2024-00057322,MANTON AVE &  ATWELLS AVE,07/14/2024 07:07:00 PM,7,2024,"Assault, Simple",11-5-5,ASSAULT OF POLICE OFFICERS AND OTHER OFFICIALS - MINOR INJURY,1,AMitura
2024-00057322,MANTON AVE &  ATWELLS AVE,07/14/2024 07:07:00 PM,7,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,AMitura
2024-00037525,900 Block MANTON AVE,05/16/2024 04:13:00 PM,5,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00044782,200 Block ATWELLS AVE,06/06/2024 11:56:00 PM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,CFleurant
2024-00050252,200 Block ATWELLS AVE,06/22/2024 11:08:52 PM,6,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MLeclerc
2024-00058006,200 Block ATWELLS AVE,07/16/2024 11:31:00 PM,7,2024,"Fraud, Swindle",11-18-26,OBTAINFOOD/ACCOMODATIONS W/INTENT TO DEFRAUD,1,MMarwell
2024-00076561,REGENT AVE &  ACADEMY AVE,09/14/2024 05:41:00 PM,9,2024,Drug Offenses,21-28-4.01.1-A2,MANUFAC/POSS/DELIVER COCAINE-1OZ-1KG,1,DPfeiffer
2024-00043264,POWER ST &  BROOK ST,06/02/2024 10:57:00 AM,6,2024,"Larceny, Other",11-41-1,LARCENY/O $11000 - ALL OTH LARCENY,1,Central Station
2024-00069828,0 Block ELMA ST,08/25/2024 01:11:00 AM,8,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,DForte
2024-00072848,200 Block HARTFORD AVE,09/03/2024 11:29:00 AM,9,2024,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/U $1000,1,Central Station
2024-00501722,100 Block PARADE ST,09/28/2024 01:04:44 PM,9,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,NField
2024-00048781,100 Block HUDSON ST,06/18/2024 12:48:00 PM,6,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,Central Station
2024-00067481,0 Block POCASSET AVE,08/17/2024 03:30:00 PM,8,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/O $11000 - FROM MV,1,MPesola
2024-00066538,0 Block RUTLAND ST,08/14/2024 09:43:00 AM,8,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,Central Station
2024-00065281,0 Block TOBEY ST,08/10/2024 02:54:00 PM,8,2024,Property Damage,Not Used,No violations,0,Central Station
2024-00081755,400 Block HUNTINGTON AVE,09/30/2024 11:29:00 PM,9,2024,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,BO'Brien
2024-00071171,100 Block OAKLAND AVE,08/29/2024 09:20:04 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JLanier
2024-00062060,200 Block SARATOGA ST,07/30/2024 10:01:27 AM,7,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,WPognon
2024-00079055,100 Block RADCLIFFE AVE,09/22/2024 07:13:00 AM,9,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,JLanier
2024-00079055,100 Block RADCLIFFE AVE,09/22/2024 07:13:00 AM,9,2024,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,JLanier
2024-00082079,0 Block W FRIENDSHIP ST,10/02/2024 01:57:05 AM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,AValdez
2024-00082079,0 Block W FRIENDSHIP ST,10/02/2024 01:57:05 AM,10,2024,RI Statute Violation,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,1,AValdez
2024-00082079,0 Block W FRIENDSHIP ST,10/02/2024 01:57:05 AM,10,2024,RI Statute Violation,12-29-4,VIOLATION -NO CONTACT ORDER,1,AValdez
2024-00082079,0 Block W FRIENDSHIP ST,10/02/2024 01:57:05 AM,10,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,AValdez
2024-00083332,0 Block MALVERN ST,10/05/2024 07:55:00 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,IQuinn
2024-00035086,PARK ROW & N MAIN ST,05/08/2024 04:11:15 PM,5,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SKawejsza
2024-00085373,TRAVERSE ST &  ALVES WAY,10/12/2024 02:43:00 PM,10,2024,Property Damage,Not Used,No violations,0,MCastillo
2024-00085382,TRAVERSE ST &  ALVES WAY,10/12/2024 03:51:00 PM,10,2024,Property Damage,Not Used,No violations,0,MCastillo
2024-00074850,0 Block CANAL ST,09/09/2024 01:46:00 PM,9,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,LGianfrancesco
2024-00038148,0 Block E GEORGE ST,05/18/2024 03:21:00 PM,5,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,MCastillo
2024-00067914,0 Block FULTON ST,08/18/2024 10:32:11 PM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DMonteiro
2024-00046612,0 Block RYE ST,06/12/2024 11:20:00 AM,6,2024,Vandalism,11-44-12,DESTRUCTION OF PUBLIC PROPERTY/O $100,1,VTavarez
2024-00051908,0 Block SHIPYARD ST,06/28/2024 01:03:56 AM,6,2024,Traffic Violation,31-3-32,Driving with Expired Registration,1,PSaravia
2024-00051908,0 Block SHIPYARD ST,06/28/2024 01:03:56 AM,6,2024,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,PSaravia
2024-00051908,0 Block SHIPYARD ST,06/28/2024 01:03:56 AM,6,2024,Traffic Violation,31-23.3-5,Windshield/Window - Owner/Operating w/Unlawful Sunscreen Material,1,PSaravia
2024-00055119,100 Block BUCKLIN ST,07/07/2024 09:03:00 PM,7,2024,Weapons,11-47.1-3,Large capacity feeding devices prohibited,1,BMurphy
2024-00061843,100 Block BUCKLIN ST,07/29/2024 03:09:00 PM,7,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,JNajarian
2024-00054541,0 Block KENNEDY PLZ,07/05/2024 11:41:00 PM,7,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,NEastman
2024-00052922,0 Block KENNEDY PLZ,07/01/2024 01:19:00 PM,7,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,Central Station
2024-00057850,0 Block KENNEDY PLZ,07/16/2024 01:51:00 PM,7,2024,"Larceny, Other",11-41-6,ATTEMPTED LARCENY/U $11000 - ALL OTH LARCENY,1,ADiaz
2024-00039163,0 Block KENNEDY PLZ,05/21/2024 10:33:50 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JMontilla
2024-00033468,0 Block KENNEDY PLZ,05/03/2024 09:21:00 AM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SMurnighan
2024-00073807,0 Block KENNEDY PLZ,09/06/2024 11:34:00 AM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,ACalle
2024-00080102,0 Block KENNEDY PLZ,09/25/2024 06:30:00 PM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CSimanski
2024-00086216,0 Block KENNEDY PLZ,10/15/2024 03:16:06 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,AElie
2024-00086263,0 Block KENNEDY PLZ,10/15/2024 06:02:00 PM,10,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MSepe
2024-00083224,0 Block KENNEDY PLZ,10/05/2024 02:05:00 PM,10,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,AWagoner
2024-00081729,0 Block KENNEDY PLZ,09/30/2024 08:48:00 PM,9,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,CSimanski
2024-00081641,0 Block KENNEDY PLZ,09/30/2024 03:13:00 PM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,DAnderson
2024-00080869,0 Block KENNEDY PLZ,09/28/2024 07:23:00 AM,9,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,KFacey
2024-00066034,FINANCE WAY &  FRANCIS ST,08/12/2024 04:24:25 PM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CMain
2024-00036964,100 Block UNION ST,05/14/2024 05:05:00 PM,5,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,Central Station
2024-00076316,0 Block ATKINS ST,09/13/2024 09:56:00 PM,9,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,DPfeiffer
2024-00076316,0 Block ATKINS ST,09/13/2024 09:56:00 PM,9,2024,Weapons,11-47.1-3,Large capacity feeding devices prohibited,1,DPfeiffer
2024-00084954,100 Block BENEFIT ST,10/11/2024 09:00:00 AM,10,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,PGinolfi
2024-00056689,300 Block S WATER ST,07/12/2024 08:39:00 PM,7,2024,Suspicious Person,Not Used,No violations,0,LPelaez
2024-00064111,100 Block DELAINE ST,08/06/2024 10:43:29 AM,8,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,DRosso
2024-00037125,100 Block DELAINE ST,05/15/2024 07:16:00 AM,5,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DSepe
2024-00044530,100 Block DELAINE ST,06/06/2024 06:56:11 AM,6,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DRosso
2024-00071504,100 Block DELAINE ST,08/30/2024 10:58:00 AM,8,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00040147,200 Block INDIA ST,05/24/2024 06:51:00 PM,5,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00084844,1100 Block ELMWOOD AVE,10/10/2024 09:24:00 PM,10,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,PPena
2024-00083522,0 Block MARIETTA ST,10/06/2024 09:22:00 AM,10,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JGaspar
2024-00071081,200 Block MESSER ST,08/29/2024 12:01:05 AM,8,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,CFleurant
2024-00075048,200 Block MESSER ST,09/10/2024 01:20:29 AM,9,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,CFleurant
2024-00067123,200 Block MESSER ST,08/16/2024 12:06:00 PM,8,2024,Municipal Code Violation,Sec. 16-3.G,Disorderly Conduct G - Urine in public,1,EAlarcon
2024-00079970,100 Block RESERVOIR AVE,09/25/2024 10:55:00 AM,9,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00056762,0 Block CALDER ST,07/13/2024 12:32:00 AM,7,2024,RI Statute Violation,11-1-6,CONSPIRACY - ALL OTH OFFENSE,1,JSmith
2024-00056762,0 Block CALDER ST,07/13/2024 12:32:00 AM,7,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,JSmith
2024-00056762,0 Block CALDER ST,07/13/2024 12:32:00 AM,7,2024,Weapons,11-47-5.2,POSSESSION OF A STOLEN FIREARM,1,JSmith
2024-00064719,0 Block RICOM WAY,08/08/2024 03:29:00 PM,8,2024,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,Central Station
2024-00081797,0 Block RICOM WAY,10/01/2024 06:32:00 AM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NULL
2024-00033156,ARCH ST &  JUNCTION ST,05/02/2024 09:30:00 AM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,VTavarez
2024-00039087,0 Block CHAMBERS ST,05/21/2024 05:56:00 PM,5,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,Central Station
2024-00071158,0 Block PEMBROKE AVE,08/29/2024 09:02:59 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JLanier
2024-00071165,0 Block PEMBROKE AVE,08/29/2024 09:27:03 AM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JLanier
2024-00078401,BROAD ST &  PORTLAND ST,09/20/2024 09:02:00 AM,9,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,AFrias
2024-00069597,BROAD ST &  PORTLAND ST,08/24/2024 01:12:00 PM,8,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,JCascione
2024-00040131,BROAD ST &  PORTLAND ST,05/24/2024 06:00:15 PM,5,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,SBouyssou
2024-00040060,BROAD ST &  PORTLAND ST,05/24/2024 03:15:00 PM,5,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,NColicci
2024-00040060,BROAD ST &  PORTLAND ST,05/24/2024 03:15:00 PM,5,2024,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,NColicci
2024-00040060,BROAD ST &  PORTLAND ST,05/24/2024 03:15:00 PM,5,2024,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,NColicci
2024-00043720,BARSTOW ST &  CUTLER ST,06/03/2024 04:35:00 PM,6,2024,Municipal Code Violation,Sec. 23-32.,"Possession ,of alcoholic beverages on any public street, sidewalk, licensed parking lot, way or grounds owned by city.",1,MPesola
2024-00048356,0 Block HYAT ST,06/17/2024 01:46:30 AM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RRaso
2024-00036698,300 Block BROAD ST,05/13/2024 07:15:41 PM,5,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,NColicci
2024-00036698,300 Block BROAD ST,05/13/2024 07:15:41 PM,5,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,NColicci
2024-00036698,300 Block BROAD ST,05/13/2024 07:15:41 PM,5,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NColicci
2024-00036698,300 Block BROAD ST,05/13/2024 07:15:41 PM,5,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NColicci
2024-00075107,300 Block BROAD ST,09/10/2024 09:22:00 AM,9,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MSepe
2024-00051049,0 Block MCMILLEN ST,06/25/2024 11:29:00 AM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,Central Station
2024-00057531,100 Block FORD ST,07/15/2024 12:47:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,DSepe
2024-00057531,100 Block FORD ST,07/15/2024 12:47:00 PM,7,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,DSepe
2024-00067185,100 Block CUMBERLAND ST,08/16/2024 03:56:00 PM,8,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JPalmer
2024-00046662,DEXTER ST &  LESTER ST,06/12/2024 02:14:00 PM,6,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,GVargas
2024-00038719,DEXTER ST &  LESTER ST,05/20/2024 03:46:00 PM,5,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,KHeron
2024-00035631,DEXTER ST &  LESTER ST,05/10/2024 11:19:00 AM,5,2024,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,VLopez
2024-00035631,DEXTER ST &  LESTER ST,05/10/2024 11:19:00 AM,5,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,VLopez
2024-00032039,200 Block THAYER ST,04/28/2024 07:21:00 PM,4,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MCastillo
2024-00041933,100 Block PRINCETON AVE,05/29/2024 05:26:00 PM,5,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station
2024-00056839,300 Block BLACKSTONE ST,07/13/2024 06:26:00 AM,7,2024,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,MSepe
2024-00056839,300 Block BLACKSTONE ST,07/13/2024 06:26:00 AM,7,2024,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,MSepe
2024-00059905,900 Block MANTON AVE,07/22/2024 09:06:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ELane
2024-00036241,0 Block AMERICA ST,05/12/2024 06:45:22 AM,5,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,MSandorse
2024-00050810,100 Block OCEAN ST,06/24/2024 03:56:00 PM,6,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,DHernandez Martinez
2024-00049155,600 Block PUBLIC ST,06/19/2024 01:50:00 PM,6,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,FTavares
2024-00078486,0 Block BOND ST,09/20/2024 03:28:00 PM,9,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,AGarcia
2024-00047183,LEANDER ST &  RIDGEWAY AVE,06/14/2024 12:27:21 AM,6,2024,Traffic Violation,31-14-3,Conditions Requiring Reduced Speed,1,HViruet
2024-00047183,LEANDER ST &  RIDGEWAY AVE,06/14/2024 12:27:21 AM,6,2024,Traffic Violation,31-15-3,Left Of Center Passing of Vehicle Proceeding in Opposite Direction,1,HViruet
2024-00047183,LEANDER ST &  RIDGEWAY AVE,06/14/2024 12:27:21 AM,6,2024,Traffic Violation,31-15-1,Right Half of Road,1,HViruet
2024-00083984,200 Block INDIA ST,10/07/2024 08:30:00 PM,10,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,DHernandez Martinez
2024-00068576,400 Block PINE ST,08/21/2024 12:49:56 AM,8,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,HEspanol
2024-00068576,400 Block PINE ST,08/21/2024 12:49:56 AM,8,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,HEspanol
2024-00048167,500 Block CHARLES ST,06/16/2024 04:09:00 PM,6,2024,"Larceny, Other",11-35-25,POSSESSION-FRAUDULENT COMMUNICATION DEVICES - ALL OTH LARCENY,1,CSimanski
2024-00080216,500 Block CHARLES ST,09/26/2024 06:47:00 AM,9,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,APendergast
2024-00080216,500 Block CHARLES ST,09/26/2024 06:47:00 AM,9,2024,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,APendergast
2024-00073505,500 Block CHARLES ST,09/05/2024 12:48:00 PM,9,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,Central Station
2024-00073510,500 Block CHARLES ST,09/05/2024 01:01:00 PM,9,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $11000 - AUTO THEFT,1,Central Station
2024-00066960,0 Block PRINCETON AVE,08/15/2024 06:07:19 PM,8,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JCortorreal
2024-00070233,0 Block WASHINGTON ST,08/26/2024 09:27:59 AM,8,2024,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,AElie
2024-00065490,0 Block SUTTON ST,08/11/2024 02:22:00 AM,8,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,Central Station
2024-00059207,0 Block FRICKER ST,07/20/2024 10:02:00 PM,7,2024,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,JHeeder
2024-00059207,0 Block FRICKER ST,07/20/2024 10:02:00 PM,7,2024,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,JHeeder
2024-00067788,700 Block WESTMINSTER ST,08/18/2024 11:59:00 AM,8,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,ASantos
2024-00057969,700 Block WESTMINSTER ST,07/16/2024 09:22:00 PM,7,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,SKawejsza
2024-00057969,700 Block WESTMINSTER ST,07/16/2024 09:22:00 PM,7,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SKawejsza
2024-00034741,0 Block WASHINGTON ST,05/07/2024 04:06:00 PM,5,2024,"Larceny, Other",11-41-1,LARCENY/U $11000 - ALL OTH LARCENY,1,KLudovici
2024-00035664,0 Block WASHINGTON ST,05/10/2024 01:35:00 PM,5,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $11000 - FROM MV,1,GSlater
2024-00040816,THAYER ST &  WATERMAN ST,05/26/2024 01:56:00 PM,5,2024,Municipal Code Violation,Sec. 16-93.,"Noise Control - Radios, television sets, and similar devices.",1,JMota
2024-00040816,THAYER ST &  WATERMAN ST,05/26/2024 01:56:00 PM,5,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,JMota
2024-00040816,THAYER ST &  WATERMAN ST,05/26/2024 01:56:00 PM,5,2024,Traffic Violation,31-23.3-5,Windshield/Window - Owner/Operating w/Unlawful Sunscreen Material,1,JMota
2024-00035138,0 Block CRANSTON ST,05/08/2024 06:26:00 PM,5,2024,"Larceny, Shoplifting",11-41-20.1,SHOPLIFTING-IMPLEMENTS OF CONCEALMENT - SHOPLIFTING,1,EAlarcon
2024-00068079,0 Block CRANSTON ST,08/19/2024 03:03:00 PM,8,2024,Larceny from Building,11-41-1,LARCENY/U $11000 - FROM BLD,1,Central Station
2024-00056588,0 Block STEPHEN HOPKINS CT,07/12/2024 03:10:00 PM,7,2024,Request for Assistance,Not Used,No violations,0,Central Station
2024-00064533,0 Block DORRANCE ST,08/07/2024 10:58:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,LRagosta
2024-00039223,0 Block DONELSON ST,05/22/2024 03:22:08 AM,5,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,BAucoin
2024-00083835,100 Block PAUL ST,10/07/2024 11:08:51 AM,10,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JGaspar
2024-00071584,100 Block CORLISS ST,08/30/2024 03:03:00 PM,8,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,ABrodeur
2024-00038239,100 Block CORLISS ST,05/18/2024 09:21:00 PM,5,2024,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,RAbenante
2024-00038239,100 Block CORLISS ST,05/18/2024 09:21:00 PM,5,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,RAbenante
